,BP,canonical_smiles
0,337.64986384619414,CO
1,293.7493473748576,CC=O
2,284.8500420195112,C1CO1
3,308.85064398481586,COC=O
4,349.03519255674894,CC(=O)OO
5,184.41950513268296,CC
6,351.34983569705963,CCO
7,248.849402569298,COC
8,331.8504043414245,C#CC=O
9,247.8497595128005,CC#C
10,239.8502146142573,C=C=C
11,329.84969963950414,C=CC=O
12,387.3504194772905,C#CCO
13,412.0497839583455,C=CC(=O)O
14,309.4303574466491,C=COC=O
15,239.8504274942717,C1CC1
16,225.449904671678,CC=C
17,369.85042058708297,C=CCO
18,278.5493848550289,COC=C
19,321.8499537152542,CCC=O
20,329.0705198561838,CC(=O)C
21,307.74960858957274,CC1CO1
22,323.04989119873136,C(=O)C(=O)C=O
23,307.0002660520097,CC1CO1
24,307.7502224513753,CC1CO1
25,332.48208989795626,CC1CO1
26,326.84972185905383,CCOC=O
27,329.85032270550704,CC(=O)OC
28,347.55012132477515,C1COCO1
29,387.99996585739126,C1OCOCO1
30,230.8898663834921,CCC
31,370.1503411925247,CCCO
32,355.34959350682533,CC(C)O
33,283.0496164285244,CCOC
34,315.14993300360965,COCOC
35,283.8506642656186,C#CC#C
36,304.5505823183688,C1=COC=C1
37,397.55036316960366,CC#CC=O
38,354.6002191572716,C#CCC=O
39,400.4499079035926,C=C1CC(=O)O1
40,299.97939887271417,CC#CC
41,283.8501241813676,CC=C=C
42,375.3501090594128,CC=CC=O
43,377.0005788510344,CC=CC=O
44,377.55006836110846,CC=CC=O
45,344.54211907438247,C=CCC=O
46,341.4499837124325,CC(=C)C=O
47,338.8502237462693,C1C=CCO1
48,301.0497403746091,C=COC=C
49,354.4505406646789,CC(=O)C=C
50,380.8502824002132,CC(C#C)O
51,364.541599381128,CC(C#C)O
52,364.541599381128,CC(C#C)O
53,372.0497609073064,C1CC(=O)C1
54,349.5422861290667,CC(=C=O)C
55,353.54967573937364,COC(=O)C=C
56,345.55012848084084,CC(=O)OC=C
57,341.74075485215684,C=CCOC=O
58,361.0505314173589,CC(=O)C(=O)C
59,283.84977085692293,C1CCC1
60,336.3503277775942,CCC1CO1
61,307.8499782404993,CCOC=C
62,347.8507910544929,CCCC=O
63,335.85033380356634,CC(C)C=O
64,352.84934359042364,CCC(=O)C
65,338.8496415448707,C1CCOC1
66,386.55030262044767,C=CCCO
67,370.0500163987652,CC(C=C)O
68,387.5499615779572,CC(=C)CO
69,369.53687076733735,CCC1CO1
70,353.9501710136854,CCCOC=O
71,341.25024838229643,CC(C)OC=O
72,350.05029118656404,CCOC(=O)C
73,352.8502992990364,CCC(=O)OC
74,374.1499696790517,C1COCCO1
75,466.46356346697706,C=CC(CO)O
76,378.5499563245362,C1COCOC1
77,380.6499119160942,CC(C)CO
78,371.85002043826006,CCC(C)O
79,355.3504911747014,CC(C)(C)O
80,372.5503714121932,CCC(C)O
81,372.7504927478087,CCC(C)O
82,371.0498983190002,CCC(C)O
83,311.54998790283474,CCCOC
84,303.7493560153261,CC(C)OC
85,307.55024412931635,CCOCC
86,357.85027371678046,COCCOC
87,338.00004169639936,CCOOCC
88,337.5503299011901,CC(OC)OC
89,328.5505810762341,CC#CC#C
90,313.8497929967897,C1C=CC=C1
91,305.1493764369913,CC(=C)C#C
92,332.54979929782564,CC#CC=C
93,314.8502384552537,C=CCC#C
94,317.59963135385163,CC=CC#C
95,323.4997733754405,CC=CC#C
96,323.99999290183786,C#CC1CC1
97,336.84990032583624,CC1CCCO1
98,332.9544184412784,CC1=COC=C1
99,311.9494629456393,C1CC12CC2
100,316.84979014406366,C1CC=CC1
101,306.85032963943286,CC(=C)C=C
102,311.84991809454635,CC(=C=C)C
103,317.9493558500484,CCC=C=C
104,314.850128188396,CC=CC=C
105,317.1502526206732,CC=CC=C
106,314.95001506724543,CC=CC=C
107,298.850169969996,C=CCC=C
108,321.200452547049,CC=C=CC
109,313.180299145565,CCCC#C
110,329.1200320436561,CCC#CC
111,302.0004343343058,CC(C)C#C
112,310.34996245171897,CC1=CCC1
113,315.1997073830601,C=C1CCC1
114,318.4996837520082,C1CC2C1C2
115,324.5559701906068,C=CC1CC1
116,371.0004692464088,CC(=C)C(=O)C
117,338.99950123489293,C=CCOC=C
118,358.9993124483753,C1CC=COC1
119,396.85056955788855,CCC=CC=O
120,377.43243977282265,CCC=CC=O
121,377.4326209533162,CC=CCC=O
122,377.4326209533162,COC1=CC=CC=C1
123,377.43249174718966,CC=C(C)C=O
124,390.55063109584665,CC=C(C)C=O
125,377.43249174718966,CC(C=C)C=O
126,377.43249174718966,CC(=C)CC=O
127,365.5504187352696,CCC(=C)C=O
128,376.8499413937308,CC(C)(C#C)O
129,388.5503375996572,C=CC(C=C)O
130,382.43259345342767,CC=CC(=O)C
131,382.43271715567033,CCC(=O)C=C
132,395.5503896693258,CC=CC(=O)C
133,376.5504715624013,CC(=O)OCC=C
134,367.0001287017265,CC(=C)OC(=O)C
135,370.5502528863959,CCC(=O)OC=C
136,370.55028792335145,CC=CC(=O)OC
137,392.05013240427513,CC=CC(=O)OC
138,372.8508601682384,CCOC(=O)C=C
139,373.3506363305132,CC(=C)C(=O)OC
140,370.55017538575134,COC1=CC(=C(C=C1)C(=O)C2=CC=C(C=C2)F)O
141,384.05027789502543,CCC(=O)C(=O)C
142,294.8504319161645,CC1(CC1)C
143,301.3497827357775,CC1CC1C
144,308.9496456038717,CCC1CC1
145,311.8501734211104,CC1CCC1
146,322.2507471554296,C1CCCC1
147,303.85016487283235,CCCC=C
148,309.5501145232987,CCC=CC
149,309.64938210992267,CCC=CC
150,309.2503770084453,CCC=CC
151,304.15438333952665,CCC(=C)C
152,293.06032833668417,CC(C)C=C
153,311.5603502873421,CC=C(C)C
154,375.8497545661394,CCCCC=O
155,364.850391879108,CCC(C)C=O
156,365.2501872290644,CC(C)CC=O
157,347.85005697845946,CC(C)(C)C=O
158,361.8359148192516,CCC(C)C=O
